region_1_mean,region_1_std,region_1_entropy,region_2_mean,region_2_std,region_2_entropy,region_3_mean,region_3_std,region_3_entropy,region_4_mean,region_4_std,region_4_entropy,label
784.0,2095.5936807978783,3.2743974703476995,784.0,2232.810756647325,3.2743974703476995,784.0,1681.9194763721598,4.0,784.0,1808.3406758683498,4.0,1.0
784.0,2237.728088933059,3.149397470347699,784.0,2100.41237022638,3.2743974703476995,784.0,1814.4301791471614,4.0,784.0,1686.5876422528418,4.0,1.0
784.0,1966.900607554942,3.702819531114783,784.0,1939.2381235939026,4.0,784.0,1723.4305904213259,4.0,784.0,1880.553774822725,4.0,1.0
784.0,1939.968492012177,4.0,784.0,1967.539643819153,3.8750000000000004,784.0,1881.752540851214,4.0,784.0,1725.0706144966937,4.0,1.0
784.0,1979.5661456490914,3.8750000000000004,784.0,1952.7130805625286,3.8750000000000004,784.0,1736.0608428278083,3.8750000000000004,784.0,1897.156622422092,3.8750000000000004,1.0
784.0,1954.009179865847,3.75,784.0,1980.408007204576,3.702819531114783,784.0,1898.9395066720792,3.75,784.0,1738.4231360632543,4.0,1.0
784.0,2001.6181891159963,3.8750000000000004,784.0,1985.976869200646,3.8750000000000004,784.0,1752.0272543542237,4.0,784.0,1907.0611552857974,4.0,1.0
784.0,1986.6402857588487,3.8750000000000004,784.0,2002.5729699564008,3.75,784.0,1910.8941951348327,3.8750000000000004,784.0,1754.623143298868,3.8750000000000004,1.0
784.0,2037.1548787463362,3.8750000000000004,784.0,2036.1364148799069,4.0,784.0,1766.8424165725703,4.0,784.0,1910.1391637783881,3.8750000000000004,1.0
784.0,2035.2400656924972,4.0,784.0,2037.6495037174573,3.75,784.0,1910.2273424909404,4.0,784.0,1767.1627683945812,4.0,1.0
784.0,2123.8594586271474,3.702819531114783,784.0,2128.470195938858,3.8750000000000004,784.0,1824.5050013633836,4.0,784.0,1972.7910748480185,4.0,1.0
784.0,2128.2469311618893,3.8750000000000004,784.0,2125.4180471144964,3.702819531114783,784.0,1972.775361007938,4.0,784.0,1824.679321141115,4.0,1.0
784.0,2205.72131059207,3.702819531114783,784.0,2206.3391058493253,3.702819531114783,784.0,1885.9120141194287,3.8750000000000004,784.0,2010.0322758602658,4.0,1.0
784.0,2206.7511753707076,3.702819531114783,784.0,2206.694643578943,3.702819531114783,784.0,2009.8043437110987,4.0,784.0,1886.961214492762,3.8750000000000004,1.0
784.0,2142.3699202051916,2.9056390622295662,784.0,2278.7626576719217,2.771782221599798,784.0,1727.0963710806643,3.8750000000000004,784.0,1804.4490849009844,3.8750000000000004,1.0
784.0,2282.6699005769538,2.771782221599798,784.0,2146.1693199745446,3.0306390622295667,784.0,1804.1994762220722,3.8750000000000004,784.0,1723.9488463988716,3.8750000000000004,1.0
784.0,2152.46393698013,3.702819531114783,784.0,2223.0061853265274,3.702819531114783,784.0,1933.4318581217183,4.0,784.0,1869.1674282952824,4.0,1.0
784.0,2279.6508504593417,3.702819531114783,784.0,2352.3353821256014,3.5,784.0,2042.5638912895724,3.8750000000000004,784.0,1997.982294716347,4.0,1.0
784.0,1956.065055155375,3.5,784.0,2063.009331050153,3.8750000000000004,784.0,1800.8290451900202,3.702819531114783,784.0,1759.5214903490096,3.702819531114783,1.0
784.0,2063.444420138328,3.8750000000000004,784.0,1956.300334815695,3.5,784.0,1759.1006580068124,3.702819531114783,784.0,1799.9834374238003,3.702819531114783,1.0
784.0,2002.7310728103262,3.702819531114783,784.0,2117.2552396912374,4.0,784.0,1774.4190950843604,3.8750000000000004,784.0,1765.836982849776,3.8750000000000004,1.0
784.0,2119.1035840656773,4.0,784.0,2004.0216129074058,3.702819531114783,784.0,1770.4070859550918,3.8750000000000004,784.0,1780.3989370363038,3.8750000000000004,1.0
784.0,2067.3232088863124,3.702819531114783,784.0,2164.4279844799644,3.75,784.0,1785.4777021850482,3.8750000000000004,784.0,1770.8067370551762,3.8750000000000004,1.0
784.0,2167.2580891532048,3.75,784.0,2068.1834420573045,3.5,784.0,1771.4233683679347,3.8750000000000004,784.0,1787.268236723296,3.8750000000000004,1.0
784.0,2158.792197039817,3.5,784.0,2252.6818184111135,4.0,784.0,1835.7999618694844,3.8750000000000004,784.0,1807.2935912573807,4.0,1.0
784.0,2253.7702023498314,4.0,784.0,2160.0993611405934,3.5,784.0,1808.5606500750812,4.0,784.0,1836.4379924190198,3.8750000000000004,1.0
784.0,1822.4536345268157,3.8750000000000004,784.0,1998.36236078445,3.8750000000000004,784.0,1979.7886566499972,3.8750000000000004,784.0,2031.8563556511567,3.702819531114783,1.0
784.0,2183.050703717163,3.0306390622295667,784.0,2322.3481651121997,2.771782221599798,784.0,1725.304791913591,3.8750000000000004,784.0,1813.341253046431,3.702819531114783,1.0
784.0,2283.818978159171,2.771782221599798,784.0,2164.3447045237504,3.0306390622295667,784.0,1808.3087056694717,3.702819531114783,784.0,1738.6872562367275,4.0,1.0
784.0,1818.1606777180064,3.8750000000000004,784.0,1710.735952740808,3.8750000000000004,784.0,1732.1007837305542,4.0,784.0,1775.5212614891436,3.702819531114783,1.0
784.0,1712.5224451083845,3.8750000000000004,784.0,1818.9070894358513,3.8750000000000004,784.0,1778.060811670962,3.702819531114783,784.0,1731.902999593222,3.8750000000000004,1.0
784.0,1860.1941430936718,3.75,784.0,1757.7388884586926,3.8750000000000004,784.0,1731.4600775068423,3.702819531114783,784.0,1777.7470644048326,3.702819531114783,1.0
784.0,1758.1713866969853,3.8750000000000004,784.0,1861.099137606592,3.75,784.0,1778.7919706924697,3.702819531114783,784.0,1733.5940989747282,3.702819531114783,1.0
784.0,1914.4239342423612,3.702819531114783,784.0,1808.326781862172,3.5778195311147827,784.0,1759.2633046249784,3.8750000000000004,784.0,1800.7863907193434,3.702819531114783,1.0
784.0,1812.6304780622002,3.702819531114783,784.0,1917.9777436143518,3.702819531114783,784.0,1802.1210766760373,3.702819531114783,784.0,1760.6704333861007,3.8750000000000004,1.0
784.0,2287.0734574997805,2.771782221599798,784.0,2408.4179454571417,2.4999999999999996,784.0,1812.0656376080863,3.75,784.0,1902.4789092129247,3.0306390622295667,1.0
784.0,2410.268812809061,2.4999999999999996,784.0,2287.4207090082928,3.0306390622295667,784.0,1905.5730109339815,3.0306390622295667,784.0,1817.2614699046476,3.75,1.0
784.0,2170.381619669684,3.8750000000000004,784.0,2155.1323335238603,3.702819531114783,784.0,2087.549071279523,3.8750000000000004,784.0,1967.0130909579632,3.8750000000000004,1.0
784.0,1643.1528382959389,3.8750000000000004,784.0,1535.7525435433927,4.0,784.0,1563.4910057304455,4.0,784.0,1590.0259824921102,3.8750000000000004,1.0
